pct,success_rate,n_success,baseline_queries,baseline_corr_size,baseline_mus,baseline_seconds,staged_queries,staged_corr_size,staged_mus,staged_solve_calls,staged_seconds
10,0.0,0,,,,,,,,,
20,0.0,0,,,,,,,,,
30,0.025,1,85,5,227,2.180303700035438,1,5,0,21,0.22461339994333684
40,0.075,3,61.333333333333336,6,156,1.1181689999842395,4.666666666666667,7.333333333333333,0,42.333333333333336,0.20602596671475717
50,0.1,4,33.25,5.5,103,0.7376894500048365,4.5,7.75,0,39.5,0.2329695500084199
60,0.3,12,180.25,6.916666666666667,273.0833333333333,3.3256228250296167,5.333333333333333,9.083333333333334,0,49.5,0.227611349982908
70,0.5,20,133.8,7.45,212.85,2.5543821300088894,3.55,8.85,0.05,39.75,0.23520857499097475
80,0.9,36,17.97222222222222,7.444444444444445,67.19444444444444,0.48368068334012704,2.4444444444444446,8.194444444444445,0,31.305555555555557,0.19394865276990458
90,0.975,39,5.666666666666667,8.35897435897436,43,0.3056255538518039,1.5384615384615385,6.358974358974359,0,25.153846153846153,0.1784109717879731
100,1.0,40,1,12,35.025,0.2850787849951303,1,5.575,0,21,0.19828479001298546
